Year	Volume	Source	XML URL	Pages	Tokens
1815	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502060.xml	492	460861
1815	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502061.xml	586	576210
1816	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502062.xml	444	415865
1816	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502063.xml	446	424633
1816	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502064.xml	468	438095
1816	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502065.xml	620	618603
1817	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502066.xml	458	422885
1817	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502067.xml	458	432568
1817	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502068.xml	458	425413
1817	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502069.xml	584	569700
1818	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502070.xml	460	420989
1818	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502071.xml	474	443450
1818	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502072.xml	466	427214
1818	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502073.xml	586	579710
1819	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502074.xml	470	437618
1819	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502075.xml	446	421670
1819	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502076.xml	470	431878
